web-scraper-order,web-scraper-start-url,fecha,Hora,Condiciones meteorológicas,Tem,Viento,Hum,Presión,pagination
"1680688115-309","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","04:30","Despejado","19°","4 km/h","68%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-310","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","05:00","Despejado","19°","6 km/h","68%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-311","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","05:30","Despejado","18°","4 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-312","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","06:00","Nubes dispersas","18°","4 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-313","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","06:30","Nubes dispersas","18°","9 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-314","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","07:00","Nubes dispersas","19°","7 km/h","64%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-315","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","07:30","Nubes dispersas","19°","4 km/h","68%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-316","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","08:00","Parcialmente cubierto","19°","6 km/h","68%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-317","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","08:30","Parcialmente cubierto","20°","9 km/h","64%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-318","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","09:00","Parcialmente cubierto","21°","11 km/h","64%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-319","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","09:30","Parcialmente cubierto","22°","13 km/h","60%","1012 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-320","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","10:00","Parcialmente cubierto","22°","13 km/h","57%","1012 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-321","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","10:30","Parcialmente cubierto","22°","11 km/h","57%","1012 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-322","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","11:00","Parcialmente cubierto","22°","7 km/h","60%","1013 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-323","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","11:30","Parcialmente cubierto","22°","4 km/h","64%","1012 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-324","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","12:00","Parcialmente cubierto","22°","6 km/h","64%","1012 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-325","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","12:30","Parcialmente cubierto","23°","7 km/h","65%","1012 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-326","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","13:00","Nubes dispersas","23°","9 > 32 km/h","65%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-327","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","13:30","Nubes dispersas","24°","4 km/h","61%","1011 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
