web-scraper-order,web-scraper-start-url,fecha,Hora,Condiciones meteorológicas,Tem,Viento,Hum,Presión,pagination
"1680688118-374","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","11:30","Nubes dispersas","23°","13 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-375","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","12:00","Nubes dispersas","24°","13 km/h","74%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-376","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","12:30","Nubes dispersas","24°","7 km/h","74%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-377","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","13:00","Nubes dispersas","25°","15 km/h","74%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-378","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","13:30","Nubes dispersas","25°","13 km/h","69%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-379","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","14:00","Nubes dispersas","25°","15 km/h","65%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-380","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","14:30","Nubes dispersas","24°","15 km/h","74%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-381","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","15:00","Nubes dispersas","24°","11 km/h","74%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-382","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","15:30","Nubes dispersas","23°","11 km/h","78%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-383","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","16:00","Nubes dispersas","24°","7 km/h","74%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-384","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","16:30","Nubes dispersas","23°","11 km/h","73%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-385","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","17:00","Nubes dispersas","23°","13 km/h","69%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-386","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","17:30","Nubes dispersas","23°","15 km/h","73%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-387","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","18:00","Nubes dispersas","22°","11 km/h","78%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
