Tipo de actividad;Distancia;Calorias;Tiempo;Frecuencia cardiaca media;TE aerobico;Cadencia de carrera media;Ritmo medio;Ascenso total;Descenso total;Longitud media de zancada;Temperatura minima;Temperatura maxima;Altura minima;Altura maxima
Trail running;10.45;1,149;1:43:07;148;3.5;108;9:52;645;488;0.94;22.0;27.0;548;879
Trail running;12.05;1,177;1:18:19;163;4.6;164;6:30;339;357;0.94;18.0;29.0;374;502
Carrera;5.01;406;0:29:02;153;3.1;167;5:48;61;86;1.03;19.0;26.0;459;512
Carrera;6.01;448;0:31:04;159;3.4;168;5:10;82;79;1.15;23.0;27.0;469;517
Carrera;10.03;802;1:04:17;150;3.1;165;6:25;177;189;0.94;23.0;30.0;490;592
Trail running;11.80;1,129;1:26:01;154;3.5;155;7:17;345;351;0.88;23.0;25.0;409;530
Carrera;6.76;591;0:44:19;150;3.1;166;6:33;137;136;0.92;24.0;27.0;825;926
Trail running;19.29;1,791;3:19:33;133;3.0;102;10:21;1,342;1,347;0.95;19.0;27.0;546;1739
Trail running;24.00;1,965;3:33:20;136;3.1;117;8:53;1,209;1,221;0.96;17.0;29.0;659;1524
Carrera;8.86;676;0:53:55;148;3.0;159;6:05;65;62;1.02;19.0;25.0;821;858
Carrera;10.01;711;0:51:19;153;3.6;173;5:08;168;180;1.13;20.0;26.0;834;916
Carrera;5.02;362;0:25:19;152;3.2;174;5:03;47;70;1.14;22.0;26.0;445;475
Trail running;29.16;2,752;5:28:00;140;3.3;99;11:15;1,486;1,195;0.90;25.0;34.0;830;1812
Trail running;33.00;2,336;3:52:52;146;3.5;156;7:03;507;526;0.90;23.0;31.0;-6;489
Carrera;10.02;815;0:59:37;154;3.4;171;5:57;170;174;0.99;23.0;29.0;443;545
Carrera;11.30;906;1:06:33;152;4.0;161;5:53;344;348;1.05;24.0;28.0;503;677
Trail running;13.01;1,145;1:28:09;152;3.4;160;6:47;327;345;0.92;22.0;30.0;291;474
Carrera;11.25;920;1:06:17;157;3.8;168;5:53;165;172;1.01;24.0;30.0;420;527
Trail running;20.00;1,755;2:45:24;150;3.5;141;8:16;850;865;0.85;23.0;29.0;357;810
Carrera;10.38;898;1:02:36;158;3.7;170;6:02;175;185;0.98;26.0;30.0;443;547
Trail running;18.80;1,977;3:07:46;150;4.2;119;9:59;845;851;0.83;26.0;31.0;396;844
Carrera;5.01;396;0:30:47;143;2.9;168;6:09;95;109;0.97;24.0;29.0;474;577
Trail running;19.67;2,291;4:04:10;138;3.3;105;12:25;1,164;1,186;0.75;27.0;35.0;825;1724
Carrera;10.01;813;0:59:52;154;3.6;170;5:59;131;136;0.99;25.0;29.0;392;431
Trail running;8.74;899;1:22:34;143;3.1;120;9:27;341;362;0.85;27.0;31.0;311;546
Carrera;7.00;616;0:43:27;154;3.3;172;6:12;97;99;0.94;28.0;32.0;339;385
Trail running;14.52;1,232;1:59:33;144;3.2;139;8:14;646;648;0.87;24.0;27.0;381;725
Carrera;8.41;662;0:53:41;147;2.8;145;6:23;72;67;1.14;24.0;30.0;374;407
Carrera;8.00;634;0:45:09;153;3.4;174;5:39;123;137;1.02;23.0;29.0;373;424
Carrera;5.01;310;0:25:09;138;2.6;177;5:01;48;61;1.13;24.0;30.0;373;401
Trail running;13.00;1,069;1:55:23;132;2.7;121;8:52;589;618;0.93;25.0;29.0;796;1192
Trail running;10.00;854;0:58:34;155;3.8;168;5:51;173;200;1.02;22.0;29.0;353;523
Carrera;8.16;698;0:54:25;149;3.0;145;6:40;77;80;1.14;22.0;29.0;494;537
Trail running;6.76;633;1:04:51;133;2.2;155;9:36;77;106;0.67;27.0;29.0;346;452
Trail running;10.00;906;1:04:36;153;3.9;160;6:28;171;199;0.97;23.0;27.0;329;510
Carrera;9.19;634;0:57:46;142;2.8;151;6:17;61;55;1.06;22.0;29.0;490;510
Trail running;10.16;807;1:09:16;148;3.1;140;6:49;149;199;1.11;24.0;29.0;340;516
Trail running;15.02;1,36;2:10:41;147;3.4;132;8:42;745;744;0.87;25.0;30.0;504;841
Carrera;7.60;634;0:54:02;146;3.0;147;7:07;69;65;1.02;22.0;27.0;494;520
Carrera;5.01;378;0:26:11;159;3.3;175;5:14;44;56;1.09;24.0;27.0;313;348
Carrera;6.70;588;0:47:09;151;3.3;160;7:02;68;112;0.88;22.0;26.0;340;452
Trail running;8.00;716;1:43:17;118;2.2;94;12:55;432;436;0.82;20.0;26.0;497;744
Trail running;7.36;688;1:20:23;130;2.8;104;10:56;232;288;0.88;24.0;28.0;385;526
Trail running;18.20;1,451;2:52:11;136;2.9;117;9:28;816;847;0.91;24.0;32.0;196;836
Trail running;6.81;495;0:37:25;147;2.9;165;5:30;69;111;1.10;21.0;27.0;338;451
Carrera;31.37;0;1:59:20;0;--;0;3:48;1,567;1,562;0.00;0.0;0.0;472;1750
Carrera;5.01;417;0:31:30;150;3.0;162;6:17;93;90;0.98;22.0;28.0;475;555
Trail running;10.02;943;1:07:01;158;4.3;157;6:41;197;196;0.95;25.0;31.0;325;502
Trail running;33.34;2,978;6:16:10;130;3.2;102;11:17;1,814;1,822;0.87;19.0;30.0;941;1706
Trail running;28.00;2,42;5:05:15;129;3.2;89;10:54;1,562;1,553;1.03;19.0;31.0;914;1707
Trail running;12.51;1,163;1:46:54;145;3.1;124;8:33;614;641;0.93;16.0;25.0;882;1296
Carrera;5.01;386;0:27:49;150;3.0;178;5:33;76;78;1.01;19.0;26.0;479;513
Trail running;21.01;1,816;3:32:59;136;3.3;115;10:08;994;1,005;0.86;22.0;28.0;513;915
Carrera;8.52;661;0:42:55;165;4.0;177;5:02;92;89;1.12;18.0;24.0;484;512
Carrera;5.01;352;0:24:00;157;3.2;179;4:48;63;74;1.16;20.0;25.0;479;526
Carrera;10.01;761;0:56:40;153;3.5;174;5:40;158;172;1.02;20.0;26.0;487;592
Trail running;13.31;1,168;1:40:27;153;4.0;145;7:33;403;413;0.90;21.0;27.0;375;672
Carrera;8.00;609;0:50:36;143;2.8;174;6:20;113;118;0.91;18.0;27.0;542;580
Trail running;34.39;2,42;4:39:15;139;3.6;133;8:07;777;728;0.93;20.0;32.0;89;531
Carrera;5.00;399;0:29:15;149;3.1;173;5:51;67;81;0.99;19.0;25.0;511;562
Trail running;10.00;836;1:02:47;153;3.9;164;6:17;184;194;0.97;19.0;27.0;388;562
Trail running;18.19;1,691;2:36:53;150;3.3;128;8:38;819;830;0.91;21.0;27.0;425;867
Carrera;5.01;417;0:27:44;162;3.5;175;5:32;61;70;1.03;23.0;26.0;518;568
Carrera;6.30;487;0:38:16;148;2.8;174;6:04;126;119;0.95;20.0;25.0;523;628
Carrera;5.01;364;0:27:06;151;3.1;175;5:25;65;79;1.06;19.0;26.0;517;567
Carrera;10.01;825;0:58:45;160;3.8;173;5:52;176;181;0.98;19.0;25.0;520;623
Carrera;4.43;381;0:28:46;151;2.9;173;6:30;92;92;0.89;19.0;26.0;544;631
